,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value ($),Total Shares,Filing
0,EXFY,"Expensify, Inc.",Barrett David Michael,Chief Executive Officer,"Sep 13, 2023",$3.86,30000,115800,2683348,"Sep 15, 2023, 09:37 PM"
1,UP,Wheels Up Experience Inc.,Briffa Mark,Chief Commercial Officer,"Sep 13, 2023",$3.64,9904,36051,69017,"Sep 15, 2023, 09:30 PM"
2,CHPT,"ChargePoint Holdings, Inc.",Linse Michael,Director,"Sep 15, 2023",$5.66,852085,4823381,0,"Sep 15, 2023, 09:09 PM"
3,NUZE,"NuZee, Inc.",HIGASHIDA MASATERU,See Remarks,"Sep 13, 2023",$7.33,1200,8796,134358,"Sep 15, 2023, 08:20 PM"
4,NUZE,"NuZee, Inc.",HIGASHIDA MASATERU,See Remarks,"Sep 14, 2023",$7.37,800,5896,133558,"Sep 15, 2023, 08:20 PM"
5,U,Unity Software Inc.,"Silver Lake Group, L.L.C.",Director,"Sep 15, 2023",$36.75,181151,6656937,67864,"Sep 15, 2023, 08:16 PM"
6,U,Unity Software Inc.,"Silver Lake Group, L.L.C.",Director,"Sep 15, 2023",$37.20,6856,255030,61008,"Sep 15, 2023, 08:16 PM"
7,GNLX,GENELUX Corp,Yu Yong,"VP, Clinical Trial Operations","Sep 13, 2023",$21.14,29800,629927,106135,"Sep 15, 2023, 08:06 PM"
8,FA,FIRST ADVANTAGE CORP,"Silver Lake Group, L.L.C.",Director,"Sep 15, 2023",$14.29,169510,2422247,153329,"Sep 15, 2023, 07:59 PM"
9,FRSH,Freshworks Inc.,Ramamurthy Srinivasagopalan,Chief Product Officer,"Sep 15, 2023",$20.05,50000,1002500,605394,"Sep 15, 2023, 07:42 PM"
10,FRSH,Freshworks Inc.,Mathrubootham Rathnagirish,Chief Executive Officer,"Sep 13, 2023",$20.97,785938,16481119,0,"Sep 15, 2023, 07:40 PM"
11,FRSH,Freshworks Inc.,Mathrubootham Rathnagirish,Chief Executive Officer,"Sep 14, 2023",$20.69,503462,10416629,0,"Sep 15, 2023, 07:40 PM"
12,FRSH,Freshworks Inc.,Mathrubootham Rathnagirish,Chief Executive Officer,"Sep 15, 2023",$20.04,610600,12236425,0,"Sep 15, 2023, 07:40 PM"
13,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Mendoza Marie,SVP & General Counsel,"Sep 15, 2023",$14.76,1000,14760,38523,"Sep 15, 2023, 07:38 PM"
14,SPLP,STEEL PARTNERS HOLDINGS L.P.,HOWARD JACK L,President,"Sep 13, 2023",$22.94,4582,105111,124607,"Sep 15, 2023, 07:37 PM"
